symbol,close,delivery_pct,volume,turnover,Score,Label
APOLLOTYRE,463.0,55.44,503063,232918169.0,1,⚪ Neutral
GOLDCASE,24.89,52.89,9330624,232239231.36,1,⚪ Neutral
GOLD1,131.6,65.25,1756765,231190274.0,1,⚪ Neutral
GPPL,179.1,69.46,1237406,221619414.6,1,⚪ Neutral
VSTTILLERS,5790.0,61.19,37198,215376420.0,1,⚪ Neutral
CHAMBLFERT,459.0,64.13,465709,213760431.0,1,⚪ Neutral
DALBHARAT,2060.6,56.23,97795,201516377.0,1,⚪ Neutral
PRUDENT,2474.4,84.26,80399,198939285.6,1,⚪ Neutral
SHADOWFAX,121.69,66.7,1625655,197825956.95,1,⚪ Neutral
VIYASH,220.89,60.71,880079,194400650.31,1,⚪ Neutral
MANGLMCEM,915.0,53.08,212234,194194110.0,1,⚪ Neutral
RATEGAIN,514.0,56.07,376855,193703470.0,1,⚪ Neutral
PRIVISCL,2980.1,53.64,64059,190902225.9,1,⚪ Neutral
TATACHEM,715.0,51.68,264578,189173270.0,1,⚪ Neutral
GOLDETF,153.15,67.12,1216542,186313407.3,1,⚪ Neutral
GUJGASLTD,409.5,67.94,453543,185725858.5,1,⚪ Neutral
RHIM,437.8,74.87,420815,184232807.0,1,⚪ Neutral
AARTIIND,456.0,50.59,401307,182995992.0,1,⚪ Neutral
ELGIEQUIP,540.55,51.36,337936,182671304.79999998,1,⚪ Neutral
IIFLCAPS,287.6,63.13,629309,180989268.4,1,⚪ Neutral
CASTROLIND,187.26,55.95,966283,180946154.57999998,1,⚪ Neutral
MID150BEES,227.25,76.16,785600,178527600.0,1,⚪ Neutral
MGL,1200.0,70.73,146597,175916400.0,1,⚪ Neutral
KPIL,1194.0,59.6,147203,175760382.0,1,⚪ Neutral
ARE&M,853.35,51.28,205325,175214088.75,1,⚪ Neutral
PVRINOX,1035.0,56.06,166077,171889695.0,1,⚪ Neutral
ONESOURCE,1337.0,55.23,128535,171851295.0,1,⚪ Neutral
NETWORK18,33.49,58.56,5050581,169143957.69,1,⚪ Neutral
METALIETF,12.47,57.86,13556313,169047223.11,1,🔴 Flagged (Unsafe)
ACC,1616.5,59.09,104053,168201674.5,1,⚪ Neutral
APOLLOPIPE,346.4,75.98,469409,162603277.6,1,⚪ Neutral
TI,450.8,63.66,360032,162302425.6,1,⚪ Neutral
SKFINDIA,1805.0,68.13,89699,161906695.0,1,⚪ Neutral
IKS,1415.6,51.18,111844,158326366.39999998,1,⚪ Neutral
GICRE,389.05,57.08,404087,157210047.35,1,⚪ Neutral
AGI,556.0,72.66,282713,157188428.0,1,⚪ Neutral
PTC,163.91,61.98,939096,153927225.35999998,1,⚪ Neutral
SUMICHEM,406.5,77.54,359175,146004637.5,1,⚪ Neutral
NIFTYIETF,287.25,56.1,507508,145781673.0,1,⚪ Neutral
SETFNIF50,273.0,53.88,532305,145319265.0,1,⚪ Neutral
JUBLINGREA,593.9,52.57,243586,144665725.4,1,⚪ Neutral
CPSEETF,103.35,53.55,1384594,143097789.9,1,⚪ Neutral
TEAMLEASE,1217.0,84.17,116332,141576044.0,1,⚪ Neutral
SETFNIFBK,625.05,53.12,223662,139799933.1,1,⚪ Neutral
BECTORFOOD,211.5,63.7,634686,134236089.0,1,⚪ Neutral
AETHER,958.1,76.64,136356,130642683.60000001,1,⚪ Neutral
BORORENEW,466.0,51.67,276982,129073612.0,1,⚪ Neutral
HDBFS,712.15,60.39,180498,128541650.7,1,⚪ Neutral
SHYAMMETL,857.0,59.08,149774,128356318.0,1,⚪ Neutral
DEEPINDS,357.6,68.69,357131,127710045.60000001,1,⚪ Neutral
INDIAMART,2180.0,69.91,58251,126987180.0,1,⚪ Neutral
WALCHANNAG,177.4,50.71,713393,126555918.2,1,⚪ Neutral
BHARTIHEXA,1653.1,72.14,75696,125133057.6,1,⚪ Neutral
GILLETTE,8417.0,59.48,14683,123586811.0,1,⚪ Neutral
AXISCADES,1469.1,55.36,82147,120682157.69999999,1,⚪ Neutral
INGERRAND,4040.0,54.75,29728,120101120.0,1,⚪ Neutral
MSUMI,42.93,53.27,2762412,118590347.16,1,⚪ Neutral
GRWRHITECH,4109.2,59.37,28838,118501109.6,1,⚪ Neutral
AUTOIETF,29.6,95.19,3973171,117605861.60000001,1,⚪ Neutral
AEGISVOPAK,234.9,60.04,497775,116927347.5,1,⚪ Neutral
