symbol,series,DATE1,prev_close,open,high,low,LAST_PRICE,close,AVG_PRICE,volume,TURNOVER_LACS,NO_OF_TRADES,delivery_qty,delivery_pct,date
GOLDADD,EQ,24-Feb-2026,152.7,153.89,155.0,153.12,153.88,153.86,153.8,450064,692.19,2180,344130,76.46,2026-02-24
GOLDBEES,EQ,24-Feb-2026,130.0,130.11,134.0,130.11,131.34,131.22,131.02,48385152,63395.34,130834,23516141,48.6,2026-02-24
GOLDBETA,EQ,24-Feb-2026,132.15,128.85,134.95,128.85,134.4,133.55,133.41,1585618,2115.34,5164,1207055,76.13,2026-02-24
GOLDBND,EQ,24-Feb-2026,157.44,161.37,161.37,157.24,158.1,158.44,158.29,48666,77.03,710,25727,52.86,2026-02-24
GOLDCASE,EQ,24-Feb-2026,24.74,25.48,25.48,24.78,25.0,24.96,24.93,11361142,2832.79,14840,6130523,53.96,2026-02-24
GOLDETF,EQ,24-Feb-2026,152.53,153.1,155.0,153.04,154.0,154.05,153.77,1616481,2485.71,6975,990208,61.26,2026-02-24
GOLDIAM,EQ,24-Feb-2026,360.05,361.0,361.0,348.0,353.0,353.75,352.9,414689,1463.44,8601,156269,37.68,2026-02-24
GOLDIETF,EQ,24-Feb-2026,134.72,136.45,136.46,135.0,135.86,135.71,135.57,8819255,11956.7,33056,5048178,57.24,2026-02-24
GOLDTECH,EQ,24-Feb-2026,40.34,40.34,41.5,38.2,41.0,40.76,40.04,71649,28.69,948,51071,71.28,2026-02-24
GOODLUCK,EQ,24-Feb-2026,1211.7,1212.0,1212.0,1160.0,1210.0,1198.4,1184.11,98336,1164.41,8689,47053,47.85,2026-02-24
GOPAL,EQ,24-Feb-2026,312.45,307.0,309.25,284.9,288.0,288.8,293.72,284358,835.23,8502,158065,55.59,2026-02-24
GPIL,EQ,24-Feb-2026,268.86,270.1,270.95,259.0,269.0,268.61,267.16,883578,2360.61,12740,452408,51.2,2026-02-24
GPPL,EQ,24-Feb-2026,177.49,177.5,177.5,172.79,174.78,174.74,174.26,639050,1113.6,10119,278552,43.59,2026-02-24
GPTHEALTH,EQ,24-Feb-2026,124.99,124.64,124.67,121.4,122.45,122.45,122.98,129067,158.73,2241,85477,66.23,2026-02-24
GPTINFRA,EQ,24-Feb-2026,124.97,124.81,125.36,122.4,123.57,123.36,123.59,164701,203.55,2500,79352,48.18,2026-02-24
GRANULES,EQ,24-Feb-2026,599.25,591.25,600.0,591.25,599.8,599.6,598.35,532195,3184.41,13391,276730,52.0,2026-02-24
GRAPHITE,EQ,24-Feb-2026,694.45,691.95,702.0,672.9,683.1,683.65,686.33,1100980,7556.39,24996,323099,29.35,2026-02-24
GRASIM,EQ,24-Feb-2026,2873.4,2850.2,2886.7,2847.4,2879.3,2879.3,2862.91,593814,17000.39,30415,351443,59.18,2026-02-24
GRAVITA,EQ,24-Feb-2026,1591.9,1581.9,1591.9,1565.0,1577.4,1579.8,1574.73,59839,942.3,6615,35179,58.79,2026-02-24
GREAVESCOT,EQ,24-Feb-2026,160.29,159.8,159.8,153.16,154.75,154.52,155.81,761350,1186.29,16761,368692,48.43,2026-02-24
GREENLAM,EQ,24-Feb-2026,240.13,240.1,241.4,236.0,236.05,236.59,237.31,9382,22.26,432,6821,72.7,2026-02-24
GREENPANEL,EQ,24-Feb-2026,213.28,210.25,214.98,207.04,209.5,209.53,209.4,87936,184.14,3802,49730,56.55,2026-02-24
GREENPLY,EQ,24-Feb-2026,228.33,228.05,228.05,221.5,223.5,224.06,224.67,116367,261.44,3162,48408,41.6,2026-02-24
GREENPOWER,EQ,24-Feb-2026,9.93,9.85,10.54,9.71,10.14,9.97,9.82,2344508,230.24,5886,1104375,47.1,2026-02-24
GRINDWELL,EQ,24-Feb-2026,1687.7,1679.4,1693.9,1670.0,1670.0,1681.8,1683.55,15852,266.88,6735,10569,66.67,2026-02-24
GRINFRA,EQ,24-Feb-2026,975.95,980.0,989.75,955.0,988.0,986.0,979.19,34652,339.31,4460,16532,47.71,2026-02-24
GRMOVER,EQ,24-Feb-2026,158.87,159.0,160.88,154.55,159.25,159.67,159.25,1741185,2772.86,4972,501640,28.81,2026-02-24
GROBTEA,EQ,24-Feb-2026,965.9,962.4,962.4,862.4,919.0,918.15,917.87,380,3.49,93,222,58.42,2026-02-24
GROWW,EQ,24-Feb-2026,167.36,167.0,167.0,161.6,163.2,163.11,163.34,20897409,34134.53,93538,8869815,42.44,2026-02-24
GROWWCAPM,EQ,24-Feb-2026,9.89,9.83,9.9,9.76,9.87,9.83,9.83,211422,20.78,662,103585,48.99,2026-02-24
GROWWCHEM,EQ,24-Feb-2026,28.17,28.17,28.18,27.6,27.8,27.72,27.78,25821,7.17,343,21713,84.09,2026-02-24
GROWWDEFNC,EQ,24-Feb-2026,80.58,81.48,81.48,79.61,80.02,80.19,80.02,238824,191.1,2713,122382,51.24,2026-02-24
GROWWEV,EQ,24-Feb-2026,30.67,30.74,30.74,30.23,30.48,30.42,30.4,116409,35.39,1663,81308,69.85,2026-02-24
GROWWGOLD,EQ,24-Feb-2026,15.35,14.96,15.53,14.96,15.51,15.5,15.47,3614980,559.4,6762,1587074,43.9,2026-02-24
GROWWLIQID,EQ,24-Feb-2026,107.96,107.6,107.98,107.6,107.98,107.97,107.98,218622,236.06,231,132543,60.63,2026-02-24
GROWWLOVOL,EQ,24-Feb-2026,10.76,10.77,10.77,10.65,10.7,10.69,10.7,6511,0.7,122,4349,66.79,2026-02-24
GROWWMC150,EQ,24-Feb-2026,218.79,221.31,221.31,215.15,217.35,217.83,217.54,509,1.11,43,197,38.7,2026-02-24
GROWWMETAL,EQ,24-Feb-2026,11.34,11.62,11.62,11.3,11.46,11.43,11.38,582021,66.22,2123,346607,59.55,2026-02-24
GROWWMOM50,EQ,24-Feb-2026,10.55,10.34,10.62,10.34,10.62,10.5,10.49,124147,13.03,525,50217,40.45,2026-02-24
GROWWN200,EQ,24-Feb-2026,11.64,11.64,11.76,11.41,11.75,11.6,11.51,124482,14.33,547,63816,51.27,2026-02-24
GROWWNET,EQ,24-Feb-2026,9.29,9.25,9.49,8.9,9.19,8.98,9.01,734844,66.24,1979,518219,70.52,2026-02-24
GROWWNIFTY,EQ,24-Feb-2026,10.32,10.57,10.57,10.17,10.29,10.23,10.24,550164,56.31,1838,435890,79.23,2026-02-24
GROWWNXT50,EQ,24-Feb-2026,69.54,68.54,69.99,68.54,69.75,69.62,69.63,10137,7.06,107,2098,20.7,2026-02-24
GROWWPOWER,EQ,24-Feb-2026,10.46,10.67,10.67,10.25,10.59,10.56,10.5,1358665,142.62,1647,1083214,79.73,2026-02-24
GROWWPSE,EQ,24-Feb-2026,104.2,103.24,104.92,102.31,104.38,104.6,103.96,7230,7.52,176,5113,70.72,2026-02-24
GROWWRAIL,EQ,24-Feb-2026,33.58,33.59,33.59,33.17,33.37,33.34,33.33,488657,162.88,2105,270905,55.44,2026-02-24
GROWWRLTY,EQ,24-Feb-2026,9.15,9.35,9.35,8.88,9.29,8.97,8.97,394724,35.42,884,371165,94.03,2026-02-24
GROWWSC250,EQ,24-Feb-2026,9.25,9.27,9.28,9.15,9.23,9.19,9.19,275256,25.29,647,220177,79.99,2026-02-24
GROWWSLVR,EQ,24-Feb-2026,25.67,26.31,26.31,25.42,25.67,25.66,25.69,6830272,1754.64,7393,1451298,21.25,2026-02-24
GRPLTD,EQ,24-Feb-2026,1758.3,1750.4,1775.0,1711.5,1775.0,1729.8,1727.19,1528,26.39,234,954,62.43,2026-02-24
GRSE,EQ,24-Feb-2026,2446.1,2425.0,2440.0,2395.0,2419.0,2416.3,2412.62,377293,9102.65,23460,116832,30.97,2026-02-24
GRWRHITECH,EQ,24-Feb-2026,4046.3,3992.0,4017.0,3864.1,3970.0,3962.8,3913.72,56301,2203.46,9586,25883,45.97,2026-02-24
